worklog_id,employee_id,date,project_id,hours_logged,task_category,description
WL00001,EMP001,2026-05-27,PRJ004,6.2,Development,Writing unit tests and bug fixes
WL00002,EMP001,2026-05-27,PRJ005,2.3,Research,Evaluating frontend state management libraries
WL00003,EMP002,2026-05-27,PRJ004,4.5,Development,Integrating databases with Redis caching
WL00004,EMP002,2026-05-27,PRJ002,3.1,Development,Optimizing Docker container builds
WL00005,EMP003,2026-05-27,PRJ002,6.5,Development,Implementing OAuth2 authorization endpoints
WL00006,EMP003,2026-05-27,PRJ005,2.4,Research,Benchmarking LLM model inference speeds
WL00007,EMP004,2026-05-27,PRJ004,6.5,Meetings,Monthly company sync
WL00008,EMP004,2026-05-27,PRJ_INTERNAL,1.0,Admin,Timesheet submission and email cleanup
WL00009,EMP005,2026-05-27,PRJ005,6.3,Development,Refactoring API response serialization
WL00010,EMP005,2026-05-27,PRJ003,2.9,Development,Refactoring API response serialization
WL00011,EMP006,2026-05-27,PRJ002,3.7,Meetings,Daily team standup and sprint alignment
WL00012,EMP006,2026-05-27,PRJ004,3.8,Meetings,Monthly company sync
WL00013,EMP007,2026-05-27,PRJ002,6.0,Research,Researching Vector DB options for RAG pipeline
WL00014,EMP007,2026-05-27,PRJ_INTERNAL,1.6,Design,Creating high-fidelity mobile app mockups
WL00015,EMP008,2026-05-27,PRJ003,5.0,Admin,Timesheet submission and email cleanup
WL00016,EMP008,2026-05-27,PRJ_INTERNAL,2.8,Admin,Documenting team onboarding guidelines
WL00017,EMP011,2026-05-27,PRJ002,5.5,Research,Benchmarking LLM model inference speeds
WL00018,EMP011,2026-05-27,PRJ_INTERNAL,2.6,Design,Reviewing accessibility contrast and typography
WL00019,EMP012,2026-05-27,PRJ005,5.9,Development,Refactoring API response serialization
WL00020,EMP012,2026-05-27,PRJ004,2.3,Development,Writing unit tests and bug fixes
WL00021,EMP013,2026-05-27,PRJ002,3.6,Meetings,Monthly company sync
WL00022,EMP013,2026-05-27,PRJ004,4.0,Meetings,Sprint planning and story pointing
WL00023,EMP001,2026-05-28,PRJ004,5.2,Support,Writing developer integration guide
WL00024,EMP001,2026-05-28,PRJ005,2.6,Development,Integrating databases with Redis caching
WL00025,EMP002,2026-05-28,PRJ004,5.4,Development,Integrating databases with Redis caching
WL00026,EMP002,2026-05-28,PRJ002,3.4,Development,Debugging SQL slow queries
WL00027,EMP003,2026-05-28,PRJ002,4.6,Meetings,Daily team standup and sprint alignment
WL00028,EMP003,2026-05-28,PRJ005,3.0,Development,Refactoring API response serialization
